Removed Pin From Net: NetName=MISO Pin=ICSP-1
Removed Pin From Net: NetName=SCK Pin=ICSP-3
Removed Pin From Net: NetName=MOSI Pin=ICSP-4
Removed Pin From Net: NetName=GND Pin=ICSP-6
Removed Pin From Net: NetName=GND Pin=IOH-7
Change Component Designator: OldDesignator=AD NewDesignator=AD1
Change Component Designator: OldDesignator=ICSP NewDesignator=ICSP1
Change Component Designator: OldDesignator=IOH NewDesignator=IOH1
Change Component Designator: OldDesignator=IOL NewDesignator=IOL1
Change Component Designator: OldDesignator=POWER NewDesignator=POWER1
Change component parameters: Designator = "IOH" ("IOH"); Footprint = "Header 10x1 8.5mm"; UniqueID = "\YUIEELQM" ("\YUIEELQM")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2698803S4475693N1004"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "SAM1198-10-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "2698789"; VariantName = "[No Variations]"
Change component parameters: Designator = "AD" ("AD"); Footprint = "Header 6x1 8.5mm"; UniqueID = "\MRDMLAAM" ("\MRDMLAAM")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 4"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2699089"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "SAM1198-06-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "2699088"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 4"; Value = "2699075"; VariantName = "[No Variations]"
Change component parameters: Designator = "IOL" ("IOL"); Footprint = "Header 8x1 8.5mm"; UniqueID = "\MFAMOVPP" ("\MFAMOVPP")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 4"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SAM1198-08-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "2698939"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "2698940"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 4"; Value = "2698925"; VariantName = "[No Variations]"
